datetime,time,value
21/03/2017 10:10,1.49009E+12,1071.71555
21/03/2017 10:15,1.49009E+12,765.511111
21/03/2017 10:20,1.49009E+12,0
21/03/2017 10:25,1.49009E+12,0
21/03/2017 10:30,1.49009E+12,1148.26666
21/03/2017 10:35,1.49009E+12,673.649778
21/03/2017 10:40,1.49009E+12,0
21/03/2017 10:45,1.49009E+12,260.273778
21/03/2017 10:50,1.49009E+12,1102.336
21/03/2017 10:55,1.49009E+12,811.441778
21/03/2017 11:00,1.49009E+12,0
21/03/2017 11:05,1.49009E+12,137.792
21/03/2017 11:10,1.49009E+12,1148.26666
21/03/2017 11:15,1.49009E+12,719.580444
21/03/2017 11:20,1.4901E+12,0
21/03/2017 11:25,1.4901E+12,199.032889
21/03/2017 11:30,1.4901E+12,1194.19733
21/03/2017 11:35,1.4901E+12,45.930667
21/03/2017 11:40,1.4901E+12,0
21/03/2017 11:45,1.4901E+12,887.992889
21/03/2017 11:50,1.4901E+12,964.544
21/03/2017 11:55,1.4901E+12,0
21/03/2017 12:00,1.4901E+12,0
21/03/2017 12:05,1.4901E+12,1270.74844
21/03/2017 12:10,1.4901E+12,566.478222
21/03/2017 12:15,1.4901E+12,0
21/03/2017 12:20,1.4901E+12,0
21/03/2017 12:25,1.4901E+12,719.580444
21/03/2017 12:30,1.4901E+12,1331.98933
21/03/2017 12:35,1.4901E+12,153.102222
21/03/2017 12:40,1.4901E+12,0
21/03/2017 12:45,1.4901E+12,367.445333
21/03/2017 12:50,1.4901E+12,1301.36888
21/03/2017 12:55,1.4901E+12,15.310222
21/03/2017 13:00,1.4901E+12,0
21/03/2017 13:05,1.4901E+12,1041.09511
21/03/2017 13:10,1.4901E+12,1209.50755
21/03/2017 13:15,1.4901E+12,0
21/03/2017 13:20,1.4901E+12,0
21/03/2017 13:25,1.4901E+12,842.062222
21/03/2017 13:30,1.4901E+12,1255.43822
21/03/2017 13:35,1.4901E+12,520.547556
21/03/2017 13:40,1.4901E+12,168.412444
21/03/2017 13:45,1.4901E+12,0
21/03/2017 13:50,1.4901E+12,0
21/03/2017 13:55,1.4901E+12,903.303111
21/03/2017 14:00,1.4901E+12,1071.71555
21/03/2017 14:05,1.49011E+12,91.861333
21/03/2017 14:10,1.49011E+12,0
21/03/2017 14:15,1.49011E+12,658.339556
21/03/2017 14:20,1.49011E+12,1270.74844
21/03/2017 14:25,1.49011E+12,566.478222
21/03/2017 14:30,1.49011E+12,0
21/03/2017 14:35,1.49011E+12,30.620444
21/03/2017 14:40,1.49011E+12,1071.71555
21/03/2017 14:45,1.49011E+12,1240.128
21/03/2017 14:50,1.49011E+12,1132.95644
21/03/2017 14:55,1.49011E+12,474.616889
21/03/2017 15:00,1.49011E+12,0
21/03/2017 15:05,1.49011E+12,199.032889
21/03/2017 15:10,1.49011E+12,1240.128
21/03/2017 15:15,1.49011E+12,796.131556
21/03/2017 15:20,1.49011E+12,413.376
21/03/2017 15:25,1.49011E+12,244.963556
21/03/2017 15:30,1.49011E+12,0
21/03/2017 15:35,1.49011E+12,0
21/03/2017 15:40,1.49011E+12,627.719111
21/03/2017 15:45,1.49011E+12,1071.71555
21/03/2017 15:50,1.49011E+12,1132.95644
21/03/2017 15:55,1.49011E+12,1087.02577
21/03/2017 16:00,1.49011E+12,0
